sp_name;aesthe_score
Chromis_vanderbilti;1518.9359
Chromis_viridis;1589.5834
Chromis_weberi;1317.53593143744
Chromis_westaustralis;1218.7261
Chromis_xanthochira;1458.495
Chromis_xanthura;1390.0532
Chromis_xutha;1255.3115
Chrysiptera_biocellata;1719.7556
Chrysiptera_bleekeri;1555.2968
Chrysiptera_brownriggii;1626.826
Chrysiptera_caesifrons;1497.7561
Chrysiptera_cyanea;1732.467
Chrysiptera_flavipinnis;1639.9517
Chrysiptera_galba;1530.9471
Chrysiptera_glauca;1695.7112
Chrysiptera_hemicyanea;1742.4532
Chrysiptera_notialis;1239.9308
Chrysiptera_oxycephala;1415.4214
Chrysiptera_parasema;1808.5242
Chrysiptera_rapanui;1516.8623
Chrysiptera_rex;1477.9634
Chrysiptera_rollandi;1508.4062
Chrysiptera_springeri;1776.1243
Chrysiptera_starcki;1643.562
Chrysiptera_talboti;1423.06
Chrysiptera_taupou;1674.3145
Chrysiptera_traceyi;1430.2717
Chrysiptera_tricincta;1505.7909
Chrysiptera_unimaculata;1590.8657
Chrysoblephus_cristiceps;1357.811
Chrysoblephus_gibbiceps;1502.917
Chrysoblephus_laticeps;1479.6447
Cirrhilabrus_cyanopleura;1484.4087
Cirrhilabrus_exquisitus;1602.866
Cirrhilabrus_flavidorsalis;1452.6196
Cirrhilabrus_katherinae;1481.2576
Cirrhilabrus_laboutei;1666.1372
Cirrhilabrus_lineatus;1694.7078
Cirrhilabrus_punctatus;1582.2871
Cirrhilabrus_randalli;1428.8074
Cirrhilabrus_scottorum;1498.5723
Cirrhilabrus_solorensis;1506.2439
Cirrhilabrus_temminckii;1701.5619
Cirrhilabrus_walindi;1435.8604
Cirrhitichthys_aprinus;1628.9236
Cirrhitichthys_falco;1754.331
Cirrhitichthys_oxycephalus;1763.8467
Cirrhitops_fasciatus;1596.5364
Cirrhitops_hubbardi;1462.6782
Cirrhitus_pinnulatus;1545.529
Cirrhitus_rivulatus;1689.0604
Cirripectes_alboapicalis;1611.7646
Cirripectes_alleni;1306.3599
Cirripectes_auritus;1445.7239
Cirripectes_castaneus;1484.8091
Cirripectes_chelomatus;1425.92
Cirripectes_filamentosus;1374.8386
Cirripectes_fuscoguttatus;1484.794
Cirripectes_hutchinsi;1378.2747
Cirripectes_polyzona;1348.2366
Cirripectes_springeri;1414.922
Cirripectes_stigmaticus;1575.9106
Cirripectes_vanderbilti;1410.2069
Cirripectes_variolosus;1329.0529
Cleidopus_gloriamaris;1928.227
Clepticus_parrae;1524.076
Clinus_latipennis;1280.2528
Clinus_superciliosus;1485.2737
Clinus_venustris;1535.1724
Cnidoglanis_macrocephalus;1270.7332
Cochleoceps_bicolor;1600.1838
Cochleoceps_orientalis;1511.3312
Conger_verreauxi;1191.4794
Congiopodus_peruvianus;1273.4122
Conniella_apterygia;1571.2792
Coradion_altivelis;1672.7362
Coradion_chrysozonus;1667.7784
Coris_auricularis;1451.3477
Coris_aurilineata;1544.9137
Coris_aygula;1609.0249
Coris_batuensis;1557.438
Coris_bulbifrons;1585.5024
Coris_caudimacula;1464.1993
Coris_centralis;1330.2473
Coris_cuvieri;1513.0372
Coris_debueni;1424.8147
Coris_dorsomacula;1454.8911
Coris_formosa;1638.1228
Coris_gaimard;1679.1588
Coris_hewetti;1685.3157
Coris_julis;1526.0151
Coris_picta;1465.1146
Coris_pictoides;1458.9558
Coris_roseoviridis;1533.173
Coris_sandeyeri;1519.6935
Coris_venusta;1573.0487
Coryphopterus_alloides;1272.0762
Coryphopterus_dicrus;1315.0665
Coryphopterus_eidolon;1411.8579
Coryphopterus_glaucofraenum;1347.5571
Coryphopterus_hyalinus;1339.0795
Coryphopterus_lipernes;1416.9237
Coryphopterus_personatus;1396.8716
Coryphopterus_thrix;1357.4445
Coryphopterus_tortugae;1282.8131
Coryphopterus_urospilus;1459.2534
Cratinus_agassizii;1223.4474
Cremnochorites_capensis;1285.0833
Crenimugil_crenilabis;1239.5447
Cristiceps_aurantiacus;1481.4777
Crocodilichthys_gracilis;1540.8826
Cromileptes_altivelis;1701.993
Crossosalarias_macrospilus;1409.2969
Cryptichthys_jojettae;1454.7949
Cryptocentrus_caeruleomaculatus;1399.727
Cryptocentrus_caeruleopunctatus;1419.0405
Cryptocentrus_cryptocentrus;1316.2166
Cryptocentrus_fasciatus;1428.4963
Cryptocentrus_strigilliceps;1382.6354
Ctenochaetus_binotatus;1698.5942
Ctenochaetus_cyanocheilus;1633.3828
Ctenochaetus_flavicauda;1641.5615
Ctenochaetus_hawaiiensis;1884.5906
Ctenochaetus_marginatus;1720.678
Ctenochaetus_striatus;1614.6956
Ctenochaetus_tominiensis;1590.978
Ctenochaetus_truncatus;1619.9419
Ctenogobiops_aurocingulus;1273.5017
Ctenogobiops_crocineus;1327.7229
Ctenogobiops_feroculus;1316.0583
Ctenogobiops_maculosus;1349.2954
Ctenogobiops_mitodes;1291.5093
Ctenogobiops_pomastictus;1258.8838
Ctenogobiops_tangaroai;1439.9713
Ctenolabrus_rupestris;1253.4437
Cybiosarda_elegans;1312.2148
Cyclichthys_orbicularis;1427.3381
Cymatoceps_nasutus;1385.8914
Cymatogaster_aggregata;1262.8911
Cymbacephalus_beauforti;1277.0721
Cypho_purpurascens;1599.4272
Cypho_zaps;1524.2233
Cyprinocirrhites_polyactis;1439.281
Dactylophora_nigricans;1277.4574
Dactylopus_dactylopus;1464.2546
