"sp_name","esthe_score","file_name","copyright"
"Caprodon_longimanus","1529.5337","Caprodon_longimanus_M_1","YES"
"Caracanthus_maculatus","1366.1086","Caracanthus_maculatus_A_1","YES"
"Caracanthus_typicus","1499.7288","Caracanthus_typicus_A_1","NO"
"Caracanthus_unipinna","1313.8518","Caracanthus_unipinna_A_1","NO"
"Carangoides_bajad","1453.0686","Carangoides_bajad_A_1","YES"
"Carangoides_bartholomaei","1240.7395","Carangoides_bartholomaei_A_1","NO"
"Carangoides_chrysophrys","1302.7224","Carangoides_chrysophrys_A_1","YES"
"Carangoides_ferdau","1289.818","Carangoides_ferdau_A_2","NO"
"Carangoides_fulvoguttatus","1295.729","Carangoides_fulvoguttatus_A_2","YES"
"Carangoides_gymnostethus","1311.8042","Carangoides_gymnostethus_A_2","YES"
"Carangoides_orthogrammus","1294.9186","Carangoides_orthogrammus_A_1","YES"
"Carangoides_plagiotaenia","1205.95","Carangoides_plagiotaenia_A_1","YES"
"Caranx_caballus","1207.7012","Caranx_caballus_A_1","YES"
"Caranx_caninus","1233.0328","Caranx_caninus_A_2","NO"
"Caranx_crysos","1228.4581","Caranx_crysos_A_1","YES"
"Caranx_ignobilis","1305.3799","Caranx_ignobilis_A_2","YES"
"Caranx_lugubris","1249.522","Caranx_lugubris_A_2","NO"
"Caranx_melampygus","1346.31708758395","Caranx_melampygus_30","YES"
"Caranx_papuensis","1257.782","Caranx_papuensis_A_1",NA
"Caranx_sexfasciatus","1302.3861","Caranx_sexfasciatus_J_2",NA
"Caulolatilus_princeps","1228.7382","Caulolatilus_princeps_A_2","YES"
"Centroberyx_affinis","1381.155","Centroberyx_affinis_A_2","YES"
"Centroberyx_gerrardi","1434.2139","Centroberyx_gerrardi_A_2","YES"
"Centroberyx_lineatus","1437.936","Centroberyx_lineatus_A_1","YES"
"Centrogenys_vaigiensis","1466.3468","Centrogenys_vaigiensis_A_1","YES"
"Centrolabrus_exoletus","1387.2201","Centrolabrus_exoletus_A_1","YES"
"Centrolabrus_melanocercus","1386.8005","Centrolabrus_melanocercus_A_1","NO"
"Centropogon_australis","1351.742","Centropogon_australis_A_3","YES"
"Centropyge_acanthops","1668.4576","Centropyge_acanthops_A_2","NO"
"Centropyge_argi","1393.9385","Centropyge_argi_A_1","YES"
"Centropyge_bicolor","1682.5969","Centropyge_bicolor_A_1","YES"
"Centropyge_bispinosa","1649.5667","Centropyge_bispinosa_A_1","YES"
"Centropyge_eibli","1623.2002","Centropyge_eibli_A_1","YES"
